Vote,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
1101,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,2,6
1102,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1103,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1104,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,JASON TAYLOR,2,6
1105,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1106,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,RANDALL FOX,JASON TAYLOR,ANTHONY CHARLES,2,6
1107,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1108,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1109,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,2,6
1110,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,2,6
1111,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH,2,6
1112,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1113,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1114,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped,2,6
1115,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1116,RANDALL FOX,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,2,6
1117,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1118,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1119,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1120,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1121,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,RANDALL FOX,JOSIE KOVASH,2,6
1122,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,2,6
1123,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1124,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
