VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,rank5
Enrolment/NAMAV,Enrolment/NAMAV,13914,Formal,MP,CURRAN Doug,ZAPPACOSTA Dino,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13915,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13916,Formal,MP,CURRAN Doug,MERCURI Rina,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13917,Formal,MP,CURRAN Doug,LA ROCCA Mariacarmina (Carmel),ZAPPACOSTA Dino,NAPOLI Anne,MERCURI Rina
Enrolment/NAMAV,Enrolment/NAMAV,13918,Formal,MP,CURRAN Doug,NAPOLI Anne,MERCURI Rina,LA ROCCA Mariacarmina (Carmel),ZAPPACOSTA Dino
Enrolment/NAMAV,Enrolment/NAMAV,13919,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13920,Formal,MP,CURRAN Doug,MERCURI Rina,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13921,Formal,MP,CURRAN Doug,LA ROCCA Mariacarmina (Carmel),ZAPPACOSTA Dino,MERCURI Rina,NAPOLI Anne
Enrolment/NAMAV,Enrolment/NAMAV,13922,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13923,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13924,Formal,MP,CURRAN Doug,MERCURI Rina,NAPOLI Anne,LA ROCCA Mariacarmina (Carmel),ZAPPACOSTA Dino
Enrolment/NAMAV,Enrolment/NAMAV,13925,Formal,MP,CURRAN Doug,MERCURI Rina,ZAPPACOSTA Dino,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13926,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13927,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
