voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,numSeats,numCands
176,Valerie REID (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
177,Valerie REID (Lab),Nick HOBSON Independence for Scotland Party (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
178,Valerie REID (Lab),Nick HOBSON Independence for Scotland Party (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
179,Valerie REID (Lab),Nick HOBSON Independence for Scotland Party (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
180,Valerie REID (Lab),Nick HOBSON Independence for Scotland Party (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
181,Valerie REID (Lab),Nick HOBSON Independence for Scotland Party (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
182,Valerie REID (Lab),Nick HOBSON Independence for Scotland Party (UNKNOWN),Margaret MCLELLAN (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
183,Valerie REID (Lab),Nick HOBSON Independence for Scotland Party (UNKNOWN),David John NAIRN (Grn),Eleanor COLLIER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
184,Valerie REID (Lab),Nick HOBSON Independence for Scotland Party (UNKNOWN),Wendy LOW-THOMSON (Ind),James MCDAID (Soc Lab) Party,Ian MURDOCH (Ind),Margaret MCLELLAN (LD),David John NAIRN (Grn),skipped,skipped,skipped,skipped,skipped,,12
185,Valerie REID (Lab),Nick HOBSON Independence for Scotland Party (UNKNOWN),James MCDAID (Soc Lab) Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
186,Valerie REID (Lab),Nick HOBSON Independence for Scotland Party (UNKNOWN),Ian MURDOCH (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
187,Valerie REID (Lab),Nick HOBSON Independence for Scotland Party (UNKNOWN),Ian MURDOCH (Ind),Margaret MCLELLAN (LD),Wendy LOW-THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
188,Valerie REID (Lab),Nick HOBSON Independence for Scotland Party (UNKNOWN),Ian MURDOCH (Ind),Margaret MCLELLAN (LD),Wendy LOW-THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
189,Valerie REID (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
190,Valerie REID (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
191,Valerie REID (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
192,Valerie REID (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
193,Valerie REID (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
194,Valerie REID (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
195,Valerie REID (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
196,Valerie REID (Lab),Margaret MCLELLAN (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
197,Valerie REID (Lab),Margaret MCLELLAN (LD),James MCDAID (Soc Lab) Party,Eleanor COLLIER (SNP),Wendy LOW-THOMSON (Ind),Ian MURDOCH (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,12
198,Valerie REID (Lab),David John NAIRN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
199,Valerie REID (Lab),David John NAIRN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
200,Valerie REID (Lab),David John NAIRN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
201,Valerie REID (Lab),David John NAIRN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
202,Valerie REID (Lab),David John NAIRN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
203,Valerie REID (Lab),David John NAIRN (Grn),Margaret MCLELLAN (LD),Eleanor COLLIER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
204,Valerie REID (Lab),David John NAIRN (Grn),Eleanor COLLIER (SNP),Margaret MCLELLAN (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
205,Valerie REID (Lab),James MCDAID (Soc Lab) Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
206,Valerie REID (Lab),Eleanor COLLIER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
207,Valerie REID (Lab),Eleanor COLLIER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
208,Valerie REID (Lab),Eleanor COLLIER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
209,Valerie REID (Lab),Eleanor COLLIER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
210,Valerie REID (Lab),Eleanor COLLIER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
211,Valerie REID (Lab),Eleanor COLLIER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
212,Valerie REID (Lab),Eleanor COLLIER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
213,Valerie REID (Lab),Eleanor COLLIER (SNP),Nick HOBSON Independence for Scotland Party (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,12
