voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,num_positions
6866,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6867,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6868,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6869,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6870,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6871,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6872,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6873,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6874,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
6875,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
