voterId,rank1,rank2,rank3,rank4,numSeats,numCands
592,Con,LD,Lab,SNP,3,4
593,Con,LD,Lab,SNP,3,4
594,Con,LD,Lab,SNP,3,4
595,Con,LD,Lab,SNP,3,4
596,Con,LD,Lab,SNP,3,4
597,Con,LD,Lab,SNP,3,4
598,Con,LD,Lab,SNP,3,4
599,Con,LD,Lab,SNP,3,4
600,Con,LD,Lab,SNP,3,4
601,Con,LD,Lab,SNP,3,4
602,Con,LD,Lab,SNP,3,4
603,Con,LD,Lab,SNP,3,4
604,Con,LD,Lab,SNP,3,4
605,Con,LD,Lab,SNP,3,4
606,Con,LD,Lab,SNP,3,4
607,Con,LD,Lab,SNP,3,4
608,Con,LD,Lab,SNP,3,4
609,Con,LD,Lab,SNP,3,4
610,Con,LD,Lab,SNP,3,4
611,Con,LD,Lab,SNP,3,4
612,Con,LD,Lab,SNP,3,4
613,Con,LD,Lab,SNP,3,4
614,Con,LD,Lab,SNP,3,4
615,Con,LD,Lab,SNP,3,4
616,Con,LD,Lab,SNP,3,4
617,Con,LD,Lab,SNP,3,4
618,Con,LD,Lab,SNP,3,4
619,Con,LD,Lab,SNP,3,4
620,Con,LD,Lab,SNP,3,4
621,Con,LD,Lab,SNP,3,4
622,Con,LD,Lab,SNP,3,4
623,Con,LD,Lab,SNP,3,4
624,Con,Lab,skipped,skipped,3,4
625,Con,Lab,skipped,skipped,3,4
626,Con,Lab,skipped,skipped,3,4
627,Con,Lab,skipped,skipped,3,4
628,Con,Lab,skipped,skipped,3,4
629,Con,Lab,skipped,skipped,3,4
630,Con,Lab,skipped,skipped,3,4
631,Con,Lab,skipped,skipped,3,4
632,Con,Lab,skipped,skipped,3,4
633,Con,Lab,skipped,skipped,3,4
634,Con,Lab,skipped,skipped,3,4
635,Con,Lab,skipped,skipped,3,4
636,Con,Lab,skipped,skipped,3,4
637,Con,Lab,skipped,skipped,3,4
638,Con,Lab,skipped,skipped,3,4
639,Con,Lab,skipped,skipped,3,4
640,Con,Lab,skipped,skipped,3,4
641,Con,Lab,skipped,skipped,3,4
642,Con,Lab,skipped,skipped,3,4
643,Con,Lab,skipped,skipped,3,4
644,Con,Lab,skipped,skipped,3,4
645,Con,Lab,skipped,skipped,3,4
646,Con,Lab,skipped,skipped,3,4
647,Con,Lab,skipped,skipped,3,4
648,Con,Lab,skipped,skipped,3,4
649,Con,Lab,SNP,skipped,3,4
650,Con,Lab,SNP,skipped,3,4
651,Con,Lab,SNP,skipped,3,4
652,Con,Lab,SNP,skipped,3,4
653,Con,Lab,SNP,skipped,3,4
654,Con,Lab,SNP,LD,3,4
655,Con,Lab,SNP,LD,3,4
656,Con,Lab,SNP,LD,3,4
657,Con,Lab,SNP,LD,3,4
658,Con,Lab,SNP,LD,3,4
659,Con,Lab,SNP,LD,3,4
660,Con,Lab,SNP,LD,3,4
661,Con,Lab,SNP,LD,3,4
662,Con,Lab,LD,skipped,3,4
663,Con,Lab,LD,skipped,3,4
664,Con,Lab,LD,skipped,3,4
665,Con,Lab,LD,skipped,3,4
666,Con,Lab,LD,skipped,3,4
667,Con,Lab,LD,skipped,3,4
668,Con,Lab,LD,skipped,3,4
669,Con,Lab,LD,skipped,3,4
670,Con,Lab,LD,skipped,3,4
671,Con,Lab,LD,skipped,3,4
672,Con,Lab,LD,skipped,3,4
673,Con,Lab,LD,skipped,3,4
674,Con,Lab,LD,skipped,3,4
675,Con,Lab,LD,skipped,3,4
676,Con,Lab,LD,skipped,3,4
