voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,num_positions
3845,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
3846,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
3847,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
3848,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
3849,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
3850,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
3851,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
3852,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
3853,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
3854,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
3855,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
3856,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
3857,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
3858,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
3859,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
3860,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
3861,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
3862,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,David FAIRWEATHER Independent,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
