rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,numSeats,numCands
29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,
29,5,26,29,29,Skipped,29,29,29,8,29,29,29,11,10,6,7,29,29,29,29,29,2,29,1,3,9,29,4,,
25,10,16,8,17,22,29,11,24,7,15,26,20,12,9,5,6,27,13,23,14,18,4,28,1,2,19,22,2,,
27,29,11,17,10,20,28,5,7,22,8,24,1,12,18,6,9,25,21,23,4,2,3,14,19,13,16,26,15,,
29,29,29,2,29,29,29,29,5,1,4,29,29,10,13,9,3,29,12,11,29,29,6,29,7,8,29,29,29,,
22,8,17,5,23,25,24,6,14,11,12,18,13,20,4,3,1,29,15,21,7,16,10,28,11,19,25,27,2,,
29,12,29,7,13,29,29,10,29,9,13,29,29,29,4,6,8,29,11,29,29,29,5,29,3,2,29,29,1,,
29,29,29,29,29,29,29,29,2,28,29,29,29,29,26,1,3,4,24,29,29,29,27,5,29,29,29,3,29,,
17,9,19,9,14,22,23,13,18,6,11,20,25,14,8,5,7,28,14,22,15,11,2,29,1,3,20,27,4,,
28,11,29,9,25,29,29,15,12,4,29,24,17,15,10,4,9,29,21,29,17,29,5,29,1,2,23,29,2,,
29,10,29,11,29,29,29,29,3,29,29,29,29,29,29,12,29,29,9,29,29,29,5,14,1,4,29,29,6,,
15,3,9,5,4,19,22,11,Skipped,12,16,18,14,20,1,13,2,Skipped,29,Skipped,17,Skipped,7,21,6,8,Skipped,28,10,,
29,5,29,13,7,26,28,8,16,3,15,18,6,26,14,26,5,26,12,18,9,17,18,26,2,1,10,26,11,,
