ballotID,ward,rank1,rank2,numSeats,numCands
2132,200,Cindy Dyballa,skipped,1,2
2133,200,Cindy Dyballa,skipped,1,2
2140,200,Cindy Dyballa,skipped,1,2
2142,200,Cindy Dyballa,skipped,1,2
2144,200,Cindy Dyballa,skipped,1,2
2153,200,Cindy Dyballa,skipped,1,2
2158,200,Cindy Dyballa,skipped,1,2
2177,200,Cindy Dyballa,skipped,1,2
2195,200,Cindy Dyballa,skipped,1,2
2201,200,Cindy Dyballa,skipped,1,2
2202,200,Cindy Dyballa,skipped,1,2
2203,200,Cindy Dyballa,skipped,1,2
2208,200,Cindy Dyballa,skipped,1,2
2215,200,Cindy Dyballa,skipped,1,2
2217,200,Cindy Dyballa,skipped,1,2
2223,200,Cindy Dyballa,skipped,1,2
2227,200,Cindy Dyballa,skipped,1,2
2233,200,Cindy Dyballa,skipped,1,2
2241,200,Cindy Dyballa,skipped,1,2
2255,200,Cindy Dyballa,skipped,1,2
2257,200,Cindy Dyballa,skipped,1,2
2259,200,Cindy Dyballa,skipped,1,2
2262,200,Cindy Dyballa,skipped,1,2
2265,200,Cindy Dyballa,skipped,1,2
2266,200,Cindy Dyballa,skipped,1,2
2274,200,Cindy Dyballa,skipped,1,2
2275,200,Cindy Dyballa,skipped,1,2
2276,200,Cindy Dyballa,skipped,1,2
2278,200,Cindy Dyballa,skipped,1,2
2279,200,Cindy Dyballa,skipped,1,2
2300,200,Cindy Dyballa,skipped,1,2
2301,200,Cindy Dyballa,skipped,1,2
2337,200,Cindy Dyballa,skipped,1,2
2344,200,Cindy Dyballa,skipped,1,2
2348,200,Cindy Dyballa,skipped,1,2
2349,200,Cindy Dyballa,skipped,1,2
2353,200,Cindy Dyballa,skipped,1,2
2361,200,Cindy Dyballa,skipped,1,2
2365,200,Cindy Dyballa,skipped,1,2
2367,200,Cindy Dyballa,skipped,1,2
2373,200,Cindy Dyballa,skipped,1,2
2379,200,Cindy Dyballa,skipped,1,2
2380,200,Cindy Dyballa,skipped,1,2
2381,200,Cindy Dyballa,skipped,1,2
2395,200,Cindy Dyballa,skipped,1,2
2399,200,Cindy Dyballa,skipped,1,2
2405,200,Cindy Dyballa,skipped,1,2
2407,200,Cindy Dyballa,skipped,1,2
2423,200,Cindy Dyballa,skipped,1,2
2425,200,Cindy Dyballa,skipped,1,2
2436,200,Cindy Dyballa,skipped,1,2
2468,200,Cindy Dyballa,skipped,1,2
2470,200,Cindy Dyballa,skipped,1,2
2476,200,Cindy Dyballa,skipped,1,2
2478,200,Cindy Dyballa,skipped,1,2
2494,200,Cindy Dyballa,skipped,1,2
2500,200,Cindy Dyballa,skipped,1,2
2509,200,Cindy Dyballa,skipped,1,2
2511,200,Cindy Dyballa,skipped,1,2
2517,200,Cindy Dyballa,skipped,1,2
2524,200,Cindy Dyballa,skipped,1,2
2528,200,Cindy Dyballa,skipped,1,2
2534,200,Cindy Dyballa,skipped,1,2
2538,200,Cindy Dyballa,skipped,1,2
2552,200,Cindy Dyballa,skipped,1,2
2560,200,Cindy Dyballa,skipped,1,2
2564,200,Cindy Dyballa,skipped,1,2
2568,200,Cindy Dyballa,skipped,1,2
2572,200,Cindy Dyballa,skipped,1,2
2574,200,Cindy Dyballa,skipped,1,2
2582,200,Cindy Dyballa,skipped,1,2
2594,200,Cindy Dyballa,skipped,1,2
2616,200,Cindy Dyballa,skipped,1,2
2631,200,Cindy Dyballa,skipped,1,2
2675,200,Cindy Dyballa,skipped,1,2
2678,200,Cindy Dyballa,skipped,1,2
2708,200,Cindy Dyballa,skipped,1,2
2725,200,Cindy Dyballa,skipped,1,2
2764,200,Cindy Dyballa,skipped,1,2
2766,200,Cindy Dyballa,skipped,1,2
2773,200,Cindy Dyballa,skipped,1,2
2787,200,Cindy Dyballa,skipped,1,2
2795,200,Cindy Dyballa,skipped,1,2
2809,200,Cindy Dyballa,skipped,1,2
2837,200,Cindy Dyballa,skipped,1,2
2877,200,Cindy Dyballa,skipped,1,2
2898,200,Cindy Dyballa,skipped,1,2
2905,200,Cindy Dyballa,skipped,1,2
2918,200,Cindy Dyballa,skipped,1,2
2947,200,Cindy Dyballa,skipped,1,2
2949,200,Cindy Dyballa,skipped,1,2
2968,200,Cindy Dyballa,skipped,1,2
2970,200,Cindy Dyballa,skipped,1,2
2976,200,Cindy Dyballa,skipped,1,2
2978,200,Cindy Dyballa,skipped,1,2
2982,200,Cindy Dyballa,skipped,1,2
3013,200,Cindy Dyballa,skipped,1,2
3022,200,Cindy Dyballa,skipped,1,2
3045,200,Cindy Dyballa,skipped,1,2
3051,200,Cindy Dyballa,skipped,1,2
3067,200,Cindy Dyballa,skipped,1,2
3116,200,Cindy Dyballa,skipped,1,2
3142,200,Cindy Dyballa,skipped,1,2
3144,200,Cindy Dyballa,skipped,1,2
3154,200,Cindy Dyballa,skipped,1,2
3166,200,Cindy Dyballa,skipped,1,2
3190,200,Cindy Dyballa,skipped,1,2
3212,200,Cindy Dyballa,skipped,1,2
3246,200,Cindy Dyballa,skipped,1,2
3256,200,Cindy Dyballa,skipped,1,2
3279,200,Cindy Dyballa,skipped,1,2
3290,200,Cindy Dyballa,skipped,1,2
3307,200,Cindy Dyballa,skipped,1,2
3369,200,Cindy Dyballa,skipped,1,2
3371,200,Cindy Dyballa,skipped,1,2
3373,200,Cindy Dyballa,skipped,1,2
3375,200,Cindy Dyballa,skipped,1,2
3383,200,Cindy Dyballa,skipped,1,2
3399,200,Cindy Dyballa,skipped,1,2
3403,200,Cindy Dyballa,skipped,1,2
3411,200,Cindy Dyballa,skipped,1,2
3475,200,Cindy Dyballa,skipped,1,2
3495,200,Cindy Dyballa,skipped,1,2
3517,200,Cindy Dyballa,skipped,1,2
3526,200,Cindy Dyballa,skipped,1,2
3530,200,Cindy Dyballa,skipped,1,2
3558,200,Cindy Dyballa,skipped,1,2
3562,200,Cindy Dyballa,skipped,1,2
3580,200,Cindy Dyballa,skipped,1,2
3584,200,Cindy Dyballa,skipped,1,2
3619,200,Cindy Dyballa,skipped,1,2
3631,200,Cindy Dyballa,skipped,1,2
3645,200,Cindy Dyballa,skipped,1,2
3661,200,Cindy Dyballa,skipped,1,2
3667,200,Cindy Dyballa,skipped,1,2
3671,200,Cindy Dyballa,skipped,1,2
3679,200,Cindy Dyballa,skipped,1,2
3693,200,Cindy Dyballa,skipped,1,2
3708,200,Cindy Dyballa,skipped,1,2
3712,200,Cindy Dyballa,skipped,1,2
3727,200,Cindy Dyballa,skipped,1,2
3745,200,Cindy Dyballa,skipped,1,2
3758,200,Cindy Dyballa,skipped,1,2
3759,200,Cindy Dyballa,skipped,1,2
3760,200,Cindy Dyballa,skipped,1,2
3785,200,Cindy Dyballa,skipped,1,2
3786,200,Cindy Dyballa,skipped,1,2
3787,200,Cindy Dyballa,skipped,1,2
3788,200,Cindy Dyballa,skipped,1,2
3791,200,Cindy Dyballa,skipped,1,2
3794,200,Cindy Dyballa,skipped,1,2
3801,200,Cindy Dyballa,skipped,1,2
3806,200,Cindy Dyballa,skipped,1,2
3809,200,Cindy Dyballa,skipped,1,2
3813,200,Cindy Dyballa,skipped,1,2
3815,200,Cindy Dyballa,skipped,1,2
3822,200,Cindy Dyballa,skipped,1,2
3824,200,Cindy Dyballa,skipped,1,2
3840,200,Cindy Dyballa,skipped,1,2
3845,200,Cindy Dyballa,skipped,1,2
3854,200,Cindy Dyballa,skipped,1,2
3856,200,Cindy Dyballa,skipped,1,2
3882,200,Cindy Dyballa,skipped,1,2
3883,200,Cindy Dyballa,skipped,1,2
3887,200,Cindy Dyballa,skipped,1,2
3888,200,Cindy Dyballa,skipped,1,2
3900,200,Cindy Dyballa,skipped,1,2
3910,200,Cindy Dyballa,skipped,1,2
3913,200,Cindy Dyballa,skipped,1,2
3918,200,Cindy Dyballa,skipped,1,2
3922,200,Cindy Dyballa,skipped,1,2
3923,200,Cindy Dyballa,skipped,1,2
3924,200,Cindy Dyballa,skipped,1,2
3928,200,Cindy Dyballa,skipped,1,2
3937,200,Cindy Dyballa,skipped,1,2
3939,200,Cindy Dyballa,skipped,1,2
3943,200,Cindy Dyballa,skipped,1,2
3948,200,Cindy Dyballa,skipped,1,2
3951,200,Cindy Dyballa,skipped,1,2
3952,200,Cindy Dyballa,skipped,1,2
3962,200,Cindy Dyballa,skipped,1,2
3964,200,Cindy Dyballa,skipped,1,2
3969,200,Cindy Dyballa,skipped,1,2
4015,200,Cindy Dyballa,skipped,1,2
4018,200,Cindy Dyballa,skipped,1,2
4019,200,Cindy Dyballa,skipped,1,2
4022,200,Cindy Dyballa,skipped,1,2
4024,200,Cindy Dyballa,skipped,1,2
