voter_id,rank1,rank2,rank3,rank4,rank5,num_positions
36,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
37,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
38,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
39,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
40,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
41,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
42,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
43,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
44,John Ross SCOTT Scottish Greens,Graham MACDONALD Independent,skipped,skipped,skipped,4
45,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,David DAWSON Independent,Gwenda SHEARER Independent,Graham MACDONALD Independent,4
46,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,David DAWSON Independent,Gwenda SHEARER Independent,Graham MACDONALD Independent,4
47,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,David DAWSON Independent,Gwenda SHEARER Independent,Graham MACDONALD Independent,4
48,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,David DAWSON Independent,Gwenda SHEARER Independent,Graham MACDONALD Independent,4
49,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,David DAWSON Independent,Gwenda SHEARER Independent,Graham MACDONALD Independent,4
50,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,David DAWSON Independent,Gwenda SHEARER Independent,Graham MACDONALD Independent,4
51,John Ross SCOTT Scottish Greens,Steven HEDDLE Independent,David DAWSON Independent,Gwenda SHEARER Independent,Graham MACDONALD Independent,4
52,David DAWSON Independent,Steven HEDDLE Independent,Graham MACDONALD Independent,Gwenda SHEARER Independent,John Ross SCOTT Scottish Greens,4
53,David DAWSON Independent,Steven HEDDLE Independent,Graham MACDONALD Independent,Gwenda SHEARER Independent,John Ross SCOTT Scottish Greens,4
54,Steven HEDDLE Independent,Graham MACDONALD Independent,Gwenda SHEARER Independent,John Ross SCOTT Scottish Greens,David DAWSON Independent,4
55,Steven HEDDLE Independent,Graham MACDONALD Independent,Gwenda SHEARER Independent,John Ross SCOTT Scottish Greens,David DAWSON Independent,4
56,John Ross SCOTT Scottish Greens,David DAWSON Independent,Graham MACDONALD Independent,Steven HEDDLE Independent,Gwenda SHEARER Independent,4
57,Steven HEDDLE Independent,Graham MACDONALD Independent,John Ross SCOTT Scottish Greens,skipped,skipped,4
58,Steven HEDDLE Independent,Graham MACDONALD Independent,John Ross SCOTT Scottish Greens,skipped,skipped,4
59,Steven HEDDLE Independent,Graham MACDONALD Independent,John Ross SCOTT Scottish Greens,skipped,skipped,4
60,Steven HEDDLE Independent,Graham MACDONALD Independent,John Ross SCOTT Scottish Greens,skipped,skipped,4
61,Steven HEDDLE Independent,Graham MACDONALD Independent,John Ross SCOTT Scottish Greens,skipped,skipped,4
62,Steven HEDDLE Independent,Graham MACDONALD Independent,John Ross SCOTT Scottish Greens,skipped,skipped,4
63,Steven HEDDLE Independent,Graham MACDONALD Independent,John Ross SCOTT Scottish Greens,skipped,skipped,4
64,Steven HEDDLE Independent,Graham MACDONALD Independent,John Ross SCOTT Scottish Greens,skipped,skipped,4
65,Steven HEDDLE Independent,Graham MACDONALD Independent,John Ross SCOTT Scottish Greens,skipped,skipped,4
66,Steven HEDDLE Independent,Graham MACDONALD Independent,John Ross SCOTT Scottish Greens,skipped,skipped,4
67,Steven HEDDLE Independent,Graham MACDONALD Independent,John Ross SCOTT Scottish Greens,skipped,skipped,4
68,Steven HEDDLE Independent,Graham MACDONALD Independent,John Ross SCOTT Scottish Greens,skipped,skipped,4
69,David DAWSON Independent,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,Gwenda SHEARER Independent,skipped,4
70,David DAWSON Independent,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,Gwenda SHEARER Independent,skipped,4
71,David DAWSON Independent,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,Gwenda SHEARER Independent,skipped,4
72,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
73,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
74,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
75,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
76,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
77,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
78,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
79,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
80,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
81,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
82,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
83,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
84,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
85,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
86,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
87,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
88,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
89,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
90,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
91,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
92,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
93,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
94,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
95,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
96,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
97,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
98,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
99,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
100,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
101,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
102,David DAWSON Independent,Gwenda SHEARER Independent,Steven HEDDLE Independent,skipped,skipped,4
103,Gwenda SHEARER Independent,Graham MACDONALD Independent,Steven HEDDLE Independent,John Ross SCOTT Scottish Greens,David DAWSON Independent,4
