voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
357,Ivan TAYLOR Independent,Leslie MANSON Independent,Kristopher LEASK Scottish Greens,skipped,skipped,skipped,skipped,skipped,4
358,Ivan TAYLOR Independent,Leslie MANSON Independent,Kristopher LEASK Scottish Greens,skipped,skipped,skipped,skipped,skipped,4
359,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,Kristopher LEASK Scottish Greens,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,4
360,Ivan TAYLOR Independent,Barbara FOULKES Independent,Sandy COWIE Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,4
361,Sandy COWIE Independent,Ivan TAYLOR Independent,Leslie MANSON Independent,Leslie SINCLAIR Independent,Beverly CLUBLEY Independent,Barbara FOULKES Independent,skipped,skipped,4
362,Kristopher LEASK Scottish Greens,Leslie MANSON Independent,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,skipped,4
363,Kristopher LEASK Scottish Greens,Leslie MANSON Independent,Barbara FOULKES Independent,skipped,skipped,skipped,skipped,skipped,4
364,Leslie MANSON Independent,Barbara FOULKES Independent,Sandy COWIE Independent,Leslie SINCLAIR Independent,Ivan TAYLOR Independent,skipped,skipped,skipped,4
365,Ivan TAYLOR Independent,Cameron WHITTLE Independent,Beverly CLUBLEY Independent,Sandy COWIE Independent,Leslie SINCLAIR Independent,Leslie MANSON Independent,Barbara FOULKES Independent,Kristopher LEASK Scottish Greens,4
366,Barbara FOULKES Independent,Sandy COWIE Independent,Ivan TAYLOR Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,4
367,Barbara FOULKES Independent,Sandy COWIE Independent,Ivan TAYLOR Independent,Leslie MANSON Independent,skipped,skipped,skipped,skipped,4
