voter_id,rank1,rank2,rank3,num_positions
502,Alistair Mason,Iain Taylor,Glen Reynolds,1
503,Alistair Mason,Iain Taylor,Glen Reynolds,1
504,Alistair Mason,Iain Taylor,Glen Reynolds,1
505,Alistair Mason,Iain Taylor,Glen Reynolds,1
506,Alistair Mason,Iain Taylor,Glen Reynolds,1
507,Alistair Mason,Iain Taylor,Glen Reynolds,1
508,Alistair Mason,Iain Taylor,Glen Reynolds,1
509,Alistair Mason,Iain Taylor,Glen Reynolds,1
510,Alistair Mason,Iain Taylor,Glen Reynolds,1
511,Alistair Mason,Iain Taylor,Glen Reynolds,1
512,Alistair Mason,Iain Taylor,Glen Reynolds,1
513,Alistair Mason,Iain Taylor,Glen Reynolds,1
514,Alistair Mason,Iain Taylor,Glen Reynolds,1
515,Alistair Mason,Iain Taylor,Glen Reynolds,1
516,Alistair Mason,Iain Taylor,Glen Reynolds,1
517,Alistair Mason,Iain Taylor,Glen Reynolds,1
518,Alistair Mason,Iain Taylor,Glen Reynolds,1
519,Alistair Mason,Iain Taylor,Glen Reynolds,1
520,Alistair Mason,Iain Taylor,Glen Reynolds,1
521,Alistair Mason,Iain Taylor,Glen Reynolds,1
522,Alistair Mason,Iain Taylor,Glen Reynolds,1
523,Alistair Mason,Iain Taylor,Glen Reynolds,1
524,Alistair Mason,Iain Taylor,Glen Reynolds,1
525,Alistair Mason,Iain Taylor,Glen Reynolds,1
526,Glen Reynolds,skipped,skipped,1
527,Glen Reynolds,skipped,skipped,1
528,Glen Reynolds,skipped,skipped,1
529,Glen Reynolds,skipped,skipped,1
530,Glen Reynolds,skipped,skipped,1
531,Glen Reynolds,skipped,skipped,1
532,Glen Reynolds,skipped,skipped,1
533,Glen Reynolds,skipped,skipped,1
534,Glen Reynolds,skipped,skipped,1
535,Glen Reynolds,skipped,skipped,1
536,Glen Reynolds,skipped,skipped,1
537,Glen Reynolds,skipped,skipped,1
538,Glen Reynolds,skipped,skipped,1
539,Glen Reynolds,skipped,skipped,1
540,Glen Reynolds,skipped,skipped,1
541,Glen Reynolds,skipped,skipped,1
542,Glen Reynolds,skipped,skipped,1
543,Glen Reynolds,skipped,skipped,1
544,Glen Reynolds,skipped,skipped,1
545,Glen Reynolds,skipped,skipped,1
546,Glen Reynolds,skipped,skipped,1
547,Glen Reynolds,skipped,skipped,1
548,Glen Reynolds,skipped,skipped,1
549,Glen Reynolds,skipped,skipped,1
550,Glen Reynolds,skipped,skipped,1
551,Glen Reynolds,skipped,skipped,1
552,Glen Reynolds,skipped,skipped,1
553,Glen Reynolds,skipped,skipped,1
554,Glen Reynolds,skipped,skipped,1
