voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
4761,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4762,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4763,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4764,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4765,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4766,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4767,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4768,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4769,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4770,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4771,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4772,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4773,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4774,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4775,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4776,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4777,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4778,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4779,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4780,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4781,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4782,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4783,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4784,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4785,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4786,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4787,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4788,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4789,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4790,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4791,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4792,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4793,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4794,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4795,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4796,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4797,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4798,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4799,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4800,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4801,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4802,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4803,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4804,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4805,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4806,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4807,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4808,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4809,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4810,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
4811,Jane Ann LISTON Scottish Liberal Democrats,Al CLARK Scottish Liberal Democrats,Robin LAWSON Scottish Conservative and Unionist,skipped,skipped,skipped,4
