voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
1157,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1158,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1159,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1160,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1161,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1162,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1163,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1164,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1165,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1166,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1167,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1168,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1169,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1170,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1171,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1172,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1173,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1174,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1175,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1176,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1177,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1178,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1179,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1180,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1181,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1182,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
