file,candidate_removed,plurality,IRV,top-two,borda-pm,top-3-truncation,condorcet,minimax,smith,smith-minimax,ranked-pairs
american/Alaska/Alaska_11082022_HouseDistrict25.csv,"Wood, Lawrence D.","Johnson, DeLena M.","Johnson, DeLena M.",unknown,"Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M."
american/Alaska/Alaska_11082022_HouseDistrict25.csv,"Johnson, DeLena M.","Wood, Lawrence D.","Wood, Lawrence D.",unknown,"Wood, Lawrence D.","Wood, Lawrence D.","Wood, Lawrence D.","Wood, Lawrence D.","Wood, Lawrence D.","Wood, Lawrence D.","Wood, Lawrence D."
american/Alaska/Alaska_11082022_HouseDistrict24.csv,none,"Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan"
american/Alaska/Alaska_11082022_HouseDistrict24.csv,"Saddler, Dan","Jackson, Sharon","Jackson, Sharon","Jackson, Sharon","Jackson, Sharon","Jackson, Sharon","Jackson, Sharon","Jackson, Sharon","Jackson, Sharon","Jackson, Sharon","Jackson, Sharon"
american/Alaska/Alaska_11082022_HouseDistrict24.csv,"Nelson, Daryl W.","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan"
american/Alaska/Alaska_11082022_HouseDistrict24.csv,"Jackson, Sharon","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan"
american/Alaska/Alaska_11082022_HouseDistrict30.csv,none,"McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J."
american/Alaska/Alaska_11082022_HouseDistrict30.csv,"McCabe, Kevin J.","Holmes, Doyle E.","Holmes, Doyle E.","Holmes, Doyle E.","Holmes, Doyle E.","Holmes, Doyle E.","Holmes, Doyle E.","Holmes, Doyle E.","Holmes, Doyle E.","Holmes, Doyle E.","Holmes, Doyle E."
american/Alaska/Alaska_11082022_HouseDistrict30.csv,"Mindiola, L. Joy","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J."
american/Alaska/Alaska_11082022_HouseDistrict30.csv,"Holmes, Doyle E.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J."
