voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
149,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,skipped,skipped,skipped,4
150,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,skipped,skipped,skipped,4
151,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,skipped,skipped,skipped,4
152,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,skipped,skipped,skipped,4
153,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,skipped,skipped,skipped,4
154,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,skipped,skipped,skipped,4
155,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,skipped,skipped,skipped,4
156,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,skipped,skipped,skipped,4
157,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,skipped,skipped,skipped,4
158,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,skipped,skipped,skipped,4
159,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,skipped,skipped,skipped,4
160,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,skipped,skipped,skipped,4
161,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,skipped,skipped,skipped,4
162,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,skipped,skipped,skipped,4
163,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,skipped,skipped,skipped,4
164,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,skipped,skipped,skipped,4
165,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,skipped,skipped,skipped,4
166,James ALLAN Scottish Conservative and Unionist,Bridget MUSTARD Scottish Conservative and Unionist,CALUM CAMERON Scottish Liberal Democrats,skipped,skipped,skipped,4
