voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
942,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
943,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
944,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
945,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
946,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
947,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
948,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
949,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
950,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
951,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
952,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
953,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
954,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
955,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
956,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
957,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
958,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
959,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
960,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
961,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
962,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
963,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
964,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
965,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
966,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
967,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
968,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
969,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
970,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
971,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
972,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
973,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
974,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
975,John HASTON Scottish National Party (SNP),David BALFOUR Scottish National Party (SNP),Rhys STENHOUSE Scottish Green Party,skipped,skipped,skipped,skipped,skipped,3
